"";"Sitio";"Muestra";"Nombre";"Masa.de.Suelo.g";"Nitrógeno.ppm";"Fósforo.disponible..ppm.";"Carbono.Orgánico....";"Gravas....";"Tamiz.Nº35..g.";"DAP.Tamiz.35";"Stock.Carbono.g.17.cm";"CO3..g.100g.";"Arcilla..0.002";"Limo.0.05.0.002";"Arena...2.0.005";"Clasificación.Textural";"Alto.contenido.de.materia.vegetal";"Sitio.y";"orden_de_muestreo";"sp_dominante";"sp_acompañante";"peso_total";"peso_sin_bolsa";"Latitud";"Longitud";"msnm";"X";"Y";"SAND";"SILT";"CLAY";"Clase_textural";"Clase_textural_USDA"
"1";"BS1";1762;"B-S1-DAP";"1.132";918;19;1,87;"30,45";419;1,07;7,46;1,48;6,7;9,6;83,6;"Arenoso Franco";NA;"El Balcon";2;"carex";"Deschampsia eminens";446;412;-28,5155555555556;-69,4926944444444;4098;2451770,15729745;6846289,83068224;83,6836836836837;9,60960960960961;6,70670670670671;"LoSa";"Arenoso franco"
"2";"BS2";1810;"B-S2-DAP";"766";1348;27;2,79;"22,49";234;0,6;4,17;0,43;3,28;10;86,72;"Arenoso Franco";1;"El Balcon";6;"Deschampsia eminens";"gentiana prostata";266;232;-28,5226111111111;-69,4958611111111;4119;2451463,39799433;6845506,58576688;86,72;10;3,28;"Sa";"Arenoso"
"3";"BS3";1771;"B-S3-DAP";"462";4208;38;11,16;"32,12";NA;NA;NA;0,3;5,28;14;80,72;"Arenoso Franco";1;"El Balcon";29;"Deschampsia eminens";"";258;224;-28,5240833333333;-69,5383888888889;4218;2447301,28087865;6845325,47716994;80,72;14;5,28;"LoSa";"Arenoso franco"
"4";"BSC1";1812;"BS-C1-DAP";"563";341;55;0,91;"33,69";572;1,46;10,18;0,43;3,6;13,6;82,7;"Arenoso Franco";NA;"El Balcon";3;"carex";"d velutina";74;40;-28,5155277777778;-69,4925277777778;4103;2451786,45995156;6846292,9762628;82,7827827827828;13,6136136136136;3,6036036036036;"LoSa";"Arenoso franco"
"5";"BSC2";1811;"BS-C2-DAP";"750";2162;45;3,59;">1";58;0,15;1,03;0,39;11,28;20;68,72;"Franco Arenoso";1;"El Balcon";4;"Deschampsia eminens";"";541;507;-28,5225555555556;-69,4951944444445;4113;2451528,62940798;6845513,0125009;68,72;20;11,28;"SaLo";"Franco arenoso"
"6";"BSC3";1802;"BS-C3-DAP";"1.308";919;42;2,14;"57,29";338;0,86;6,02;3,41;1,6;1,6;96,7;"Arenoso";1;"El Balcon";30;"Deschampsia eminens";"calandrinia compacta, carex";552;518;-28,5240277777778;-69,5390277777778;4218;2447238,71606162;6845331,35363785;96,7967967967968;1,6016016016016;1,6016016016016;"Sa";"Arenoso"
"7";"BSS1";1767;"BS-S1-DAP";"610";2125;59;3,25;"31,37";170;0,43;3,03;1,8;4;24;72;"Franco Arenoso";NA;"El Balcon";1;"carex";"calandrinia compacta";415;381;-28,5156666666667;-69,4928888888889;4091;2451751,17336859;6846277,43807345;72;24;4;"SaLo";"Franco arenoso"
"8";"BSS2";1809;"BS-S2-DAP";"496";1743;45;4,54;">1";134;0,34;2,39;0,63;1,28;14;84,72;"Arenoso Franco";1;"El Balcon";5;"Deschampsia eminens";"oxicloe 2";987;953;-28,5224444444444;-69,4954444444444;4118;2451504,10723799;6845525,22594646;84,72;14;1,28;"LoSa";"Arenoso franco"
"9";"BSS3";1772;"BS-S3-DAP";"454";1775;29;2,27;"45,11";79;0,2;1,41;0,14;7,6;37,6;54,7;"Franco Arenoso";1;"El Balcon";28;"Deschampsia eminens";"oxicloe ";132;98;-28,5243611111111;-69,5381944444444;4220;2447320,45202313;6845294,7762756;54,7547547547547;37,6376376376376;7,60760760760761;"SaLo";"Franco arenoso"
"10";"MMS1";1808;"MM-S1-DAP";"668";567;22;1,1;"65,74";142;0,36;2,53;2,23;1,6;1,6;96,7;"Arenoso";1;"MACHO MUERTO";27;"Deschampsia eminens";"Festuca argentina";255;221;-28,4105277777778;-69,2851111111111;3840;2472063,09468987;6857995,66621974;96,7967967967968;1,6016016016016;1,6016016016016;"Sa";"Arenoso"
"11";"MMS2";1803;"MM-S2-DAP";"526";1151;38;2,5;"9,24";214;0,54;3,81;0,87;1,28;14;84,72;"Arenoso Franco";1;"MACHO MUERTO";32;"Deschampsia eminens";"Festuca argentina";369;335;-28,4194722222222;-69,2960277777778;3847;2470995,83756505;6857001,79932639;84,72;14;1,28;"LoSa";"Arenoso franco"
"12";"MMS3";1804;"MM-S3-DAP";"472";2084;135;5,45;"14,8";108;0,28;1,92;30,7;9,6;33,6;56,7;"Franco Arenoso";1;"MACHO MUERTO";36;"Deschampsia eminens";"puchinellia";220;186;-28,4995833333333;-69,3532222222222;3940;2465418,05513875;6848108,13001077;56,7567567567568;33,6336336336336;9,60960960960961;"SaLo";"Franco arenoso"
"13";"MMSC1";1800;"MM-SC1-DAP";"750";500;30;0,34;"61,76";180;0,46;3,2;0,32;3,6;6,4;90;"Arenoso";NA;"MACHO MUERTO";26;"Deschampsia eminens";"Festuca argentina, carex";170;136;-28,4113611111111;-69,2858611111111;3830;2471989,82349859;6857903,13627569;90;6,4;3,6;"Sa";"Arenoso"
"14";"MMSC2";1801;"MM-SC2-DAP";"326";2176;32;12,1;">|1";68;0,17;1,21;0,73;3,6;17,6;78,7;"Arenoso Franco";1;"MACHO MUERTO";33;"Deschampsia eminens";"d curvula";506;472;-28,4198333333333;-69,2962777777778;3850;2470971,44129382;6856961,71818602;78,7787787787788;17,6176176176176;3,6036036036036;"LoSa";"Arenoso franco"
"15";"MMSC3";1796;"MM-SC3-DAP";"264";7326;83;12,67;">1";104;0,26;1,85;2,45;3,6;29,6;66,7;"Franco Arenoso";1;"MACHO MUERTO";35;"Deschampsia eminens";"oxicloe";136;102;-28,4972777777778;-69,3516666666667;3935;2465569,60428564;6848364,09869393;66,7667667667668;29,6296296296296;3,6036036036036;"SaLo";"Franco arenoso"
"16";"MMSS2";1807;"MM-SS2-DAP";"308";2361;25;1,82;"41,53";44;0,11;0,78;0,91;3,28;20;76,72;"Arenoso Franco";1;"MACHO MUERTO";31;"Deschampsia eminens";"d curvula";476;442;-28,4199444444444;-69,2957777777778;3849;2471020,46091087;6856949,52453193;76,72;20;3,28;"LoSa";"Arenoso franco"
"17";"MMSS3";1806;"MM-SS3-DAP";"814";2394;31;5,52;"40,36";304;0,77;5,41;0,73;3,28;24;72,72;"Franco Arenoso";1;"MACHO MUERTO";34;"Deschampsia eminens";"oxicloe";625;591;-28,4919444444444;-69,3488611111111;3918;2465842,57255362;6848955,98572688;72,72;24;3,28;"SaLo";"Franco arenoso"
"18";"PBS1";1773;"PB-S1-DAP";"1.704";362;15;0,23;"51,16";338;0,86;6,02;1,19;4;14;82;"Arenoso Franco";NA;"Pirca de los Bueyes";8;"Deschampsia eminens";"hordeum, pucinellia frigida";342;308;-28,5155833333333;-69,3728055555555;3961;2463506,24460661;6846329,07017546;82;14;4;"LoSa";"Arenoso franco"
"19";"PBS2";1756;"PB-S2-DAP";"844";737;19;0,57;"12,29";140;0,36;2,49;0,24;4;18;78;"Arenoso Franco";NA;"Pirca de los Bueyes";12;"Festuca argentina";"";355;321;-28,5068055555556;-69,4773611111111;4059;2453267,3061905;6847265,65803977;78;18;4;"LoSa";"Arenoso franco"
"20";"PBS3";1799;"PB-S3-DAP";"684";1513;43;2,44;"0";222;0,57;3,95;4,71;4;30;76;"Franco Arenoso";NA;"Pirca de los Bueyes";14;"carex";"d curvula y gentiana prostata";60;26;-28,5079166666667;-69,4914444444444;4070;2451889,05557174;6847136,95030669;69,0909090909091;27,2727272727273;3,63636363636364;"SaLo";"Franco arenoso"
"21";"PBSC1";1798;"PB-SC1-DAP";"1706";765;22;0,57;"37,82";222;0,57;3,95;0,24;3,6;9,6;86,7;"Franco Arenoso";NA;"Pirca de los Bueyes";9;"Deschampsia eminens";"carex, d curvula";252;218;-28,5147777777778;-69,3719722222222;3966;2463587,54361375;6846418,60227615;86,7867867867868;9,60960960960961;3,6036036036036;"LoSa";"Arenoso franco"
"22";"PBSC2";1766;"PB-SC2-DAP";"984";628;19;1,34;"0,64";300;0,76;5,34;0,24;3,6;10,4;86;"Arenoso Franco";NA;"Pirca de los Bueyes";10;"Festuca argentina";"";281;247;-28,5070277777778;-69,4779166666667;4062;2453213,01552163;6847240,81280093;86;10,4;3,6;"LoSa";"Arenoso franco"
"23";"PBSC3";1797;"PB-SC3-DAP";"728";1222;18;2,11;">1";234;0,6;4,17;0,55;3,8;30;66,5;"Franco Arenoso";NA;"Pirca de los Bueyes";15;"d curvula";"carex";123;89;-28,5080833333333;-69,4912777777778;4074;2451905,44762966;6847118,54543982;66,3010967098704;29,9102691924227;3,78863409770688;"SaLo";"Franco arenoso"
"24";"PBSS1";1760;"PB-SS1-DAP";"800";680;21;0,53;"54,76";154;0,39;2,74;0,51;4;20;77;"Arenoso Franco";NA;"Pirca de los Bueyes";7;"Deschampsia eminens";"hordeum, Festuca argentina";425;391;-28,5161111111111;-69,3732222222222;3961;2463465,6386517;6846270,45026704;76,2376237623762;19,8019801980198;3,96039603960396;"LoSa";"Arenoso franco"
"25";"PBSS2";1775;"PB-SS2-DAP";"734";1153;19;1,68;"1,15";216;0,55;3,84;0,43;1,6;22;76,4;"Arenoso Franco";NA;"Pirca de los Bueyes";11;"Festuca argentina";"";297;263;-28,5066944444444;-69,4776111111111;4057;2453242,78227488;6847277,87511135;76,4;22;1,6;"LoSa";"Arenoso franco"
"26";"PBSS3";1768;"PB-SS3-DAP";"676";1109;18;1,22;"4,81";NA;NA;NA;0,48;3,28;18;78,72;"Arenoso Franco";1;"Pirca de los Bueyes";13;"carex";"Deschampsia eminens, d curvula";100;66;-28,5078333333333;-69,4917222222222;4075;2451861,82363533;6847146,07477244;78,72;18;3,28;"LoSa";"Arenoso franco"
