"";"Sitio";"orden_de_muestreo";"ID";"sp_dominante";"sp_acompañante";"peso_total";"peso_sin_bolsa";"Latitud";"Longitud";"msnm";"X";"Y"
"1";"El Balcon";1;"BSS1";"carex";"calandrinia compacta";415;381;-28,5156666666667;-69,4928888888889;4091;2451751,17336859;6846277,43807345
"2";"El Balcon";2;"BS1";"carex";"Deschampsia eminens";446;412;-28,5155555555556;-69,4926944444444;4098;2451770,15729745;6846289,83068224
"3";"El Balcon";3;"BSC1";"carex";"d velutina";74;40;-28,5155277777778;-69,4925277777778;4103;2451786,45995156;6846292,9762628
"4";"El Balcon";4;"BSC2";"Deschampsia eminens";"";541;507;-28,5225555555556;-69,4951944444445;4113;2451528,62940798;6845513,0125009
"5";"El Balcon";5;"BSS2";"Deschampsia eminens";"oxicloe 2";987;953;-28,5224444444444;-69,4954444444444;4118;2451504,10723799;6845525,22594646
"6";"El Balcon";6;"BS2";"Deschampsia eminens";"gentiana prostata";266;232;-28,5226111111111;-69,4958611111111;4119;2451463,39799433;6845506,58576688
"7";"El Balcon";28;"BSS3";"Deschampsia eminens";"oxicloe ";132;98;-28,5243611111111;-69,5381944444444;4220;2447320,45202313;6845294,7762756
"8";"El Balcon";29;"BS3";"Deschampsia eminens";"";258;224;-28,5240833333333;-69,5383888888889;4218;2447301,28087865;6845325,47716994
"9";"El Balcon";30;"BSC3";"Deschampsia eminens";"calandrinia compacta, carex";552;518;-28,5240277777778;-69,5390277777778;4218;2447238,71606162;6845331,35363785
"10";"Pirca de los Bueyes";7;"PBSS1";"Deschampsia eminens";"hordeum, Festuca argentina";425;391;-28,5161111111111;-69,3732222222222;3961;2463465,6386517;6846270,45026704
"11";"Pirca de los Bueyes";8;"PBS1";"Deschampsia eminens";"hordeum, pucinellia frigida";342;308;-28,5155833333333;-69,3728055555555;3961;2463506,24460661;6846329,07017546
"12";"Pirca de los Bueyes";9;"PBSC1";"Deschampsia eminens";"carex, d curvula";252;218;-28,5147777777778;-69,3719722222222;3966;2463587,54361375;6846418,60227615
"13";"Pirca de los Bueyes";10;"PBSC2";"Festuca argentina";"";281;247;-28,5070277777778;-69,4779166666667;4062;2453213,01552163;6847240,81280093
"14";"Pirca de los Bueyes";11;"PBSS2";"Festuca argentina";"";297;263;-28,5066944444444;-69,4776111111111;4057;2453242,78227488;6847277,87511135
"15";"Pirca de los Bueyes";12;"PBS2";"Festuca argentina";"";355;321;-28,5068055555556;-69,4773611111111;4059;2453267,3061905;6847265,65803977
"16";"Pirca de los Bueyes";13;"PBSS3";"carex";"Deschampsia eminens, d curvula";100;66;-28,5078333333333;-69,4917222222222;4075;2451861,82363533;6847146,07477244
"17";"Pirca de los Bueyes";14;"PBS3";"carex";"d curvula y gentiana prostata";60;26;-28,5079166666667;-69,4914444444444;4070;2451889,05557174;6847136,95030669
"18";"Pirca de los Bueyes";15;"PBSC3";"d curvula";"carex";123;89;-28,5080833333333;-69,4912777777778;4074;2451905,44762966;6847118,54543982
"19";"Quebrada Chica";16;"QCSS1";"oxicloe";"d curvula";59;25;-28,4898055555556;-69,4787222222222;4139;2453126,54252523;6849149,23146706
"20";"Quebrada Chica";17;"QCSS2";"oxicloe";"d velutina";75;41;-28,4898333333333;-69,4806388888889;4141;2452938,88366146;6849145,40339286
"21";"Quebrada Chica";18;"QCS1";"oxicloe";"";159;125;-28,4898611111111;-69,4801944444445;4138;2452982,41391584;6849142,49885332
"22";"Quebrada Chica";19;"QCSC1";"oxicloe";"d curvula";122;88;-28,4901111111111;-69,4784444444444;4127;2453153,87613735;6849115,47526511
"23";"Quebrada Chica";20;"QCS2";"oxicloe";"";176;142;-28,4896666666667;-69,4779444444444;4122;2453202,63768888;6849164,92773476
"24";"Quebrada Chica";21;"QCSC2";"Deschampsia eminens";"";482;448;-28,4800555555556;-69,4860555555556;4208;2452404,12404267;6850226,93532876
"25";"Quebrada Chica";22;"QCS3";"Deschampsia eminens";"";79;45;-28,4800555555556;-69,4861944444445;4203;2452390,5234251;6850226,88030139
"26";"Quebrada Chica";23;"QCSS3";"Deschampsia eminens";"";665;631;-28,4800277777778;-69,48625;4203;2452385,070719;6850229,93688108
"27";"Quebrada Chica";24;"QCSC3";"oxicloe";"d curvula";497;463;-28,4898333333333;-69,47775;4120;2453221,75028687;6849146,53189391
"28";"MACHO MUERTO";25;"MMSS1";"Deschampsia eminens";"Festuca argentina";376;342;-28,4109166666667;-69,2855833333333;3835;2472016,92514921;6857952,45724246
"29";"MACHO MUERTO";27;"MMS1";"Deschampsia eminens";"Festuca argentina";255;221;-28,4105277777778;-69,2851111111111;3840;2472063,09468987;6857995,66621974
"30";"MACHO MUERTO";26;"MMSC1";"Deschampsia eminens";"Festuca argentina, carex";170;136;-28,4113611111111;-69,2858611111111;3830;2471989,82349859;6857903,13627569
"31";"MACHO MUERTO";31;"MMSS2";"Deschampsia eminens";"d curvula";476;442;-28,4199444444444;-69,2957777777778;3849;2471020,46091087;6856949,52453193
"32";"MACHO MUERTO";32;"MMS2";"Deschampsia eminens";"Festuca argentina";369;335;-28,4194722222222;-69,2960277777778;3847;2470995,83756505;6857001,79932639
"33";"MACHO MUERTO";33;"MMSC2";"Deschampsia eminens";"d curvula";506;472;-28,4198333333333;-69,2962777777778;3850;2470971,44129382;6856961,71818602
"34";"MACHO MUERTO";34;"MMSS3";"Deschampsia eminens";"oxicloe";625;591;-28,4919444444444;-69,3488611111111;3918;2465842,57255362;6848955,98572688
"35";"MACHO MUERTO";36;"MMS3";"Deschampsia eminens";"puchinellia";220;186;-28,4995833333333;-69,3532222222222;3940;2465418,05513875;6848108,13001077
"36";"MACHO MUERTO";35;"MMSC3";"Deschampsia eminens";"oxicloe";136;102;-28,4972777777778;-69,3516666666667;3935;2465569,60428564;6848364,09869393
